Date,Close
2005-01-31,57.81
2005-02-28,59.22
2005-03-31,61.06
2005-04-30,60.95
2005-05-31,64.89
2005-06-30,64.87
2005-07-31,62.4
2005-08-31,62.24
2005-09-30,61.04
2005-10-31,60.56
2005-11-30,60.6
2005-12-31,63.63
2006-01-31,67.65
2006-02-28,72.87
2006-03-31,75.13
2006-04-30,75.9
2006-05-31,72.49
2006-06-30,71.74
2006-07-31,79.68
2006-08-31,82.6
2006-09-30,86.06
2006-10-31,86.93
2006-11-30,90.45
2006-12-31,92.07
2007-01-31,97.19
2007-02-28,97.26
2007-03-31,97.02
2007-04-30,96.14
2007-05-31,98.1
2007-06-30,94.13
2007-07-31,98.48
2007-08-31,99.14
2007-09-30,108.49
2007-10-31,110.04
2007-11-30,110.67
2007-12-31,105.26
2008-01-31,107.92
2008-02-29,103.2
2008-03-31,99.3
2008-04-30,106.04
2008-05-31,109.44
2008-06-30,98.66
2008-07-31,104.33
2008-08-31,116.44
2008-09-30,109.67
2008-10-31,85.05
2008-11-30,77.11
2008-12-31,84.08
2009-01-31,82.04
2009-02-28,63.11
2009-03-31,69.03
2009-04-30,78.53
2009-05-31,83.63
2009-06-30,80.65
2009-07-31,74.76
2009-08-31,74.98
2009-09-30,78.08
2009-10-31,68.79
2009-11-30,77.23
2009-12-31,75.35
2010-01-31,74.52
2010-02-28,77.76
2010-03-31,83.22
2010-04-30,84.89
2010-05-31,79.92
2010-06-30,74.5
2010-07-31,75.15
2010-08-31,69.52
2010-09-30,71.28
2010-10-31,71.29
2010-11-30,68.04
2010-12-31,69.91
2011-01-31,79.6
2011-02-28,79.16
2011-03-31,80.4
2011-04-30,79.25
2011-05-31,77.9
2011-06-30,80.97
2011-07-31,75.73
2011-08-31,74.19
2011-09-30,72.64
2011-10-31,75.9
2011-11-30,78.15
2011-12-31,80.9
2012-01-31,82.32
2012-02-29,88.41
2012-03-31,89.86
2012-04-30,90.54
2012-05-31,82.8
2012-06-30,87.08
2012-07-31,89.27
2012-08-31,91.14
2012-09-30,93.38
2012-10-31,93.67
2012-11-30,93.3
2012-12-31,92.29
2013-01-31,86.87
2013-02-28,88.0
2013-03-31,96.52
2013-04-30,99.09
2013-05-31,105.83
2013-06-30,108.46
2013-07-31,120.12
2013-08-31,122.42
2013-09-30,127.55
2013-10-31,133.34
2013-11-30,141.67
2013-12-31,148.66
2014-01-31,150.91
2014-02-28,162.3
2014-03-31,163.24
2014-04-30,164.14
2014-05-31,163.65
2014-06-30,160.73
2014-07-31,166.97
2014-08-31,174.0
2014-09-30,182.78
2014-10-31,190.57
2014-11-30,191.56
2014-12-31,192.57
2015-01-31,188.37
2015-02-28,200.05
2015-03-31,202.96
2015-04-30,186.6
2015-05-31,188.2
2015-06-30,185.9
2015-07-31,207.1
2015-08-31,201.18
2015-09-30,207.31
2015-10-31,219.83
2015-11-30,219.16
2015-12-31,217.15
